age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,tuition_monthly,financial_aid_monthly,books_supplies_monthly,total_spending,spending_margin,gmm_label,spending_category
19,Male,Junior,Psychology,1180,732,4206,597,254,195,67,51,21,97,185,46,Credit/Debit Card,701,122,11,2158,856,1,Saver
24,Male,Sophomore,Computer Science,516,549,4878,814,286,180,282,55,25,77,73,184,Mobile Payment App,813,92,47,2554,1946,2,Over-Spender
18,Non-binary,Sophomore,Biology,1225,610,4998,473,159,134,294,37,86,159,60,43,Cash,833,102,49,2033,706,1,Saver
24,Non-binary,Senior,Economics,582,285,4210,421,348,138,143,62,85,218,113,60,Credit/Debit Card,702,48,24,2171,1541,0,Balanced
19,Female,Senior,Economics,1062,56,4500,731,238,103,76,111,95,238,74,83,Mobile Payment App,750,9,13,2436,1365,0,Balanced
25,Female,Junior,Biology,1054,528,5486,789,400,81,211,95,74,237,140,136,Mobile Payment App,914,88,35,2901,1759,2,Over-Spender
20,Male,Senior,Economics,667,690,3541,762,173,185,288,53,38,84,159,137,Credit/Debit Card,590,115,48,2229,1447,0,Balanced
20,Female,Junior,Psychology,796,705,5616,664,291,179,260,127,21,113,194,80,Credit/Debit Card,936,118,43,2648,1734,2,Over-Spender
24,Non-binary,Sophomore,Psychology,905,671,4156,444,163,131,141,132,31,156,95,128,Credit/Debit Card,693,112,24,1997,980,1,Saver
23,Non-binary,Junior,Engineering,531,448,3099,742,394,179,95,64,62,73,104,173,Mobile Payment App,516,75,16,2323,1717,2,Over-Spender
23,Non-binary,Freshman,Economics,1426,3,5943,677,296,110,137,146,21,155,105,26,Mobile Payment App,990,0,23,2549,1123,0,Balanced
23,Male,Sophomore,Psychology,1465,302,5417,468,113,190,134,119,82,276,165,191,Mobile Payment App,903,50,22,2529,1014,1,Saver
24,Non-binary,Junior,Computer Science,522,555,5236,860,169,133,147,123,48,138,89,150,Credit/Debit Card,873,92,24,2607,1993,2,Over-Spender
25,Female,Freshman,Economics,1338,110,5615,468,325,158,244,98,46,231,183,80,Cash,936,18,41,2566,1210,0,Balanced
23,Male,Junior,Biology,1363,365,3222,695,185,166,99,116,68,77,31,161,Mobile Payment App,537,61,16,2052,628,1,Saver
21,Male,Freshman,Biology,1328,320,3090,718,254,93,204,74,30,228,60,179,Cash,515,53,34,2185,804,1,Saver
22,Male,Sophomore,Engineering,1350,675,3931,462,372,147,282,149,92,269,105,190,Cash,655,112,47,2488,1026,1,Saver
23,Non-binary,Senior,Computer Science,1309,265,5160,600,178,148,186,88,78,242,54,172,Cash,860,44,31,2451,1098,0,Balanced
21,Female,Senior,Biology,965,251,5344,695,249,88,249,49,29,298,96,31,Cash,891,42,42,2468,1461,0,Balanced
20,Female,Senior,Engineering,600,392,5733,791,309,178,67,22,29,142,74,105,Mobile Payment App,956,65,11,2617,1952,2,Over-Spender
24,Female,Freshman,Engineering,605,118,5696,653,165,189,151,86,82,117,83,156,Mobile Payment App,949,20,25,2505,1880,2,Over-Spender
25,Male,Sophomore,Economics,804,140,5332,517,289,147,153,125,43,159,44,127,Cash,889,23,26,2366,1539,0,Balanced
23,Female,Sophomore,Economics,1274,449,4639,755,137,55,249,103,50,176,67,175,Cash,773,75,42,2333,984,1,Saver
23,Male,Junior,Psychology,509,942,3958,511,391,192,264,57,85,108,115,141,Credit/Debit Card,660,157,44,2304,1638,2,Over-Spender
23,Female,Senior,Economics,1285,881,3823,740,253,182,230,32,92,118,34,39,Credit/Debit Card,637,147,38,2165,733,1,Saver
18,Male,Freshman,Computer Science,929,348,3854,590,204,196,183,129,80,163,116,55,Credit/Debit Card,642,58,30,2205,1218,0,Balanced
25,Non-binary,Freshman,Psychology,1163,235,4951,549,261,86,185,102,21,252,31,88,Cash,825,39,31,2246,1044,1,Saver
19,Male,Senior,Psychology,1195,745,5269,920,167,57,88,113,60,242,35,106,Mobile Payment App,878,124,15,2593,1274,0,Balanced
25,Male,Junior,Psychology,1036,260,4141,918,122,86,105,62,88,90,169,137,Cash,690,43,18,2380,1301,0,Balanced
24,Female,Junior,Economics,588,211,4875,604,163,101,198,89,23,128,62,42,Mobile Payment App,812,35,33,2057,1434,0,Balanced
20,Female,Junior,Engineering,1377,723,5414,786,355,137,187,45,90,145,200,27,Cash,902,120,31,2718,1221,0,Balanced
21,Non-binary,Freshman,Economics,1451,479,5481,661,140,67,128,31,48,293,37,128,Credit/Debit Card,914,80,21,2340,809,1,Saver
19,Male,Senior,Computer Science,669,660,3823,837,193,115,75,121,65,150,96,58,Cash,637,110,12,2284,1505,0,Balanced
18,Male,Freshman,Psychology,1294,818,4079,806,115,97,71,24,31,79,107,63,Mobile Payment App,680,136,12,2014,584,1,Saver
24,Non-binary,Senior,Engineering,941,90,3688,963,372,197,146,32,86,109,45,198,Mobile Payment App,615,15,24,2641,1685,2,Over-Spender
22,Female,Sophomore,Engineering,1131,312,4244,926,339,142,237,145,93,121,91,158,Cash,707,52,40,2762,1579,0,Balanced
24,Non-binary,Freshman,Computer Science,854,700,4824,525,223,145,133,47,91,294,191,170,Cash,804,117,22,2512,1541,0,Balanced
20,Male,Sophomore,Economics,1158,653,3017,960,216,193,299,40,61,263,55,141,Mobile Payment App,503,109,50,2482,1215,0,Balanced
25,Non-binary,Sophomore,Biology,668,50,3650,466,377,161,221,60,80,180,142,86,Mobile Payment App,608,8,37,2197,1521,0,Balanced
20,Female,Junior,Biology,695,970,4694,626,304,104,200,47,71,223,93,191,Mobile Payment App,782,162,33,2474,1617,2,Over-Spender
20,Male,Junior,Engineering,1375,722,5389,416,132,193,149,67,27,261,46,43,Mobile Payment App,898,120,25,2108,613,1,Saver
23,Female,Junior,Engineering,1084,315,5205,721,230,76,141,86,34,187,159,144,Mobile Payment App,868,52,24,2529,1393,0,Balanced
18,Female,Senior,Biology,733,838,5248,977,298,164,241,85,78,281,121,168,Cash,875,140,40,3087,2214,2,Over-Spender
20,Non-binary,Freshman,Economics,1061,989,5194,464,370,58,77,135,34,124,40,171,Mobile Payment App,866,165,13,2275,1049,1,Saver
19,Female,Junior,Computer Science,1352,13,3403,477,144,82,190,109,84,81,56,80,Mobile Payment App,567,2,32,1712,358,1,Saver
19,Male,Freshman,Biology,1092,550,5841,916,150,143,257,90,29,262,192,177,Mobile Payment App,974,92,43,2976,1792,2,Over-Spender
24,Male,Freshman,Economics,963,367,3830,883,260,79,139,135,64,54,81,74,Mobile Payment App,638,61,23,2291,1267,0,Balanced
21,Female,Junior,Engineering,1204,121,4261,488,283,111,287,115,56,230,85,24,Credit/Debit Card,710,20,48,2150,926,1,Saver
23,Male,Senior,Engineering,1184,104,5380,940,115,185,171,58,45,111,30,169,Mobile Payment App,897,17,28,2578,1377,0,Balanced
22,Male,Junior,Economics,562,728,4560,986,306,105,109,90,99,187,195,34,Mobile Payment App,760,121,18,2780,2097,2,Over-Spender
19,Male,Freshman,Economics,1218,878,4643,451,234,169,240,105,21,238,101,38,Mobile Payment App,774,146,40,2171,807,1,Saver
21,Non-binary,Sophomore,Computer Science,1235,805,5442,745,390,150,228,96,80,104,35,131,Cash,907,134,38,2676,1307,0,Balanced
23,Non-binary,Sophomore,Economics,1424,367,3220,684,328,118,91,143,88,98,159,54,Cash,537,61,15,2224,739,1,Saver
22,Female,Freshman,Biology,1176,804,4272,861,305,97,106,103,43,185,104,67,Mobile Payment App,712,134,18,2495,1185,0,Balanced
25,Female,Sophomore,Engineering,1334,81,3986,873,180,186,236,23,61,88,87,33,Credit/Debit Card,664,14,39,2234,886,1,Saver
19,Female,Senior,Computer Science,1442,354,5371,733,153,166,105,29,80,86,137,109,Cash,895,59,18,2406,905,1,Saver
22,Male,Sophomore,Computer Science,983,862,5650,648,159,128,259,124,97,96,150,134,Cash,942,144,43,2521,1394,0,Balanced
24,Female,Sophomore,Computer Science,914,24,4881,564,149,55,61,129,79,180,94,33,Credit/Debit Card,814,4,10,2107,1189,0,Balanced
22,Non-binary,Senior,Economics,898,155,5428,868,175,129,148,114,74,196,104,77,Cash,905,26,25,2667,1743,2,Over-Spender
23,Non-binary,Junior,Economics,1164,357,5212,631,331,125,199,115,48,130,107,196,Cash,869,60,33,2585,1361,0,Balanced
18,Female,Freshman,Biology,1484,594,4636,518,299,74,55,104,87,122,171,193,Mobile Payment App,773,99,9,2350,767,1,Saver
19,Female,Junior,Biology,1127,850,5104,623,385,94,193,29,57,259,113,31,Mobile Payment App,851,142,32,2474,1205,0,Balanced
24,Non-binary,Senior,Biology,1105,671,5501,841,235,164,109,144,100,252,198,36,Cash,917,112,18,2905,1688,2,Over-Spender
19,Male,Freshman,Computer Science,1351,156,4529,678,186,178,75,34,95,97,140,75,Mobile Payment App,755,26,12,2250,873,1,Saver
22,Female,Freshman,Biology,930,768,3050,490,349,54,174,80,51,278,143,41,Mobile Payment App,508,128,29,2023,965,1,Saver
25,Non-binary,Senior,Computer Science,1346,932,5683,718,376,152,156,94,81,220,145,83,Credit/Debit Card,947,155,26,2842,1341,0,Balanced
25,Non-binary,Sophomore,Computer Science,1240,44,3901,618,315,177,180,41,63,247,112,138,Credit/Debit Card,650,7,30,2391,1144,0,Balanced
25,Female,Junior,Computer Science,727,143,4051,840,269,119,121,132,40,173,198,125,Credit/Debit Card,675,24,20,2591,1840,2,Over-Spender
20,Female,Junior,Economics,622,959,4707,431,234,184,264,54,84,295,162,177,Mobile Payment App,784,160,44,2449,1667,2,Over-Spender
23,Male,Sophomore,Economics,800,933,5304,421,144,97,51,103,66,247,183,92,Credit/Debit Card,884,156,8,2245,1289,0,Balanced
18,Non-binary,Junior,Psychology,1199,516,5959,778,260,82,238,74,82,149,126,62,Credit/Debit Card,993,86,40,2646,1361,0,Balanced
19,Male,Senior,Economics,1006,392,3526,411,357,109,268,107,94,65,138,145,Cash,588,65,45,2059,988,1,Saver
23,Non-binary,Sophomore,Economics,1295,903,4423,791,397,144,64,59,79,187,189,113,Mobile Payment App,737,150,11,2707,1262,0,Balanced
18,Male,Sophomore,Economics,1222,625,4236,862,127,180,63,91,90,191,87,122,Mobile Payment App,706,104,10,2466,1140,0,Balanced
18,Female,Senior,Computer Science,1384,800,4822,809,237,174,85,21,72,130,185,104,Credit/Debit Card,804,133,14,2550,1033,1,Saver
18,Female,Junior,Engineering,1035,513,3367,760,182,57,95,119,21,166,149,119,Credit/Debit Card,561,86,16,2150,1029,1,Saver
20,Male,Freshman,Economics,1395,723,5126,551,258,130,81,102,84,234,172,78,Credit/Debit Card,854,120,14,2477,962,1,Saver
18,Non-binary,Sophomore,Biology,767,457,5096,780,331,200,115,89,27,265,175,158,Credit/Debit Card,849,76,19,2893,2050,2,Over-Spender
24,Female,Senior,Biology,933,452,4706,787,166,136,106,112,63,270,86,29,Cash,784,75,18,2451,1443,0,Balanced
23,Male,Junior,Psychology,803,796,3471,931,293,54,146,142,58,84,104,41,Mobile Payment App,578,133,24,2309,1373,0,Balanced
22,Male,Sophomore,Psychology,1333,231,3300,971,295,51,219,91,94,259,161,50,Cash,550,38,36,2558,1187,0,Balanced
23,Female,Senior,Psychology,1115,437,5317,818,341,136,116,115,22,56,38,106,Mobile Payment App,886,73,19,2537,1349,0,Balanced
20,Female,Sophomore,Psychology,920,149,3366,636,295,143,77,120,96,137,162,178,Cash,561,25,13,2341,1396,0,Balanced
25,Male,Junior,Psychology,780,95,5931,759,216,99,251,20,38,192,105,97,Cash,988,16,42,2556,1760,2,Over-Spender
21,Female,Junior,Psychology,882,912,5570,555,305,103,81,112,28,112,162,197,Mobile Payment App,928,152,14,2516,1482,0,Balanced
21,Female,Senior,Computer Science,959,258,3200,464,360,153,220,26,88,144,161,134,Cash,533,43,37,2100,1098,0,Balanced
25,Female,Senior,Psychology,748,494,4789,447,353,164,201,60,43,99,93,172,Mobile Payment App,798,82,34,2263,1433,0,Balanced
21,Male,Junior,Biology,810,73,4884,742,112,173,276,136,63,294,161,136,Mobile Payment App,814,12,46,2677,1855,2,Over-Spender
20,Male,Sophomore,Computer Science,965,322,4992,433,175,56,71,89,74,66,59,130,Mobile Payment App,832,54,12,1926,907,1,Saver
24,Male,Senior,Psychology,784,513,4906,863,116,110,140,116,56,264,179,160,Credit/Debit Card,818,86,23,2705,1835,2,Over-Spender
22,Male,Sophomore,Economics,970,553,5894,680,344,156,114,120,79,53,40,156,Mobile Payment App,982,92,19,2629,1567,0,Balanced
23,Non-binary,Senior,Economics,1349,873,5866,661,205,129,88,72,28,192,72,101,Credit/Debit Card,978,146,15,2453,958,1,Saver
19,Female,Senior,Psychology,760,61,5429,831,268,84,63,26,92,278,185,60,Credit/Debit Card,905,10,10,2739,1969,2,Over-Spender
21,Female,Freshman,Computer Science,702,273,4977,906,385,106,277,148,41,205,149,116,Cash,830,46,46,2932,2184,2,Over-Spender
21,Male,Junior,Engineering,720,675,5309,661,284,95,153,93,21,108,81,64,Mobile Payment App,885,112,26,2318,1486,0,Balanced
22,Male,Freshman,Biology,1286,789,3618,902,343,194,182,74,62,171,126,112,Mobile Payment App,603,132,30,2617,1199,0,Balanced
22,Female,Sophomore,Engineering,1135,261,4753,629,335,168,97,113,60,223,44,62,Cash,792,44,16,2442,1263,0,Balanced
18,Non-binary,Senior,Engineering,1030,240,3108,859,386,147,208,27,60,265,36,23,Credit/Debit Card,518,40,35,2356,1286,0,Balanced
21,Female,Senior,Engineering,1265,722,4579,760,122,122,63,34,48,250,153,184,Credit/Debit Card,763,120,10,2446,1061,0,Balanced
24,Female,Freshman,Psychology,1175,803,5634,444,290,170,63,25,37,275,111,101,Mobile Payment App,939,134,10,2402,1093,0,Balanced
23,Female,Freshman,Psychology,1083,10,5275,640,236,153,257,62,87,188,55,59,Mobile Payment App,879,2,43,2402,1317,0,Balanced
24,Non-binary,Freshman,Biology,1487,940,3167,765,202,146,183,145,23,233,120,44,Mobile Payment App,528,157,30,2236,592,1,Saver
25,Non-binary,Junior,Computer Science,1327,196,5067,613,278,179,187,149,38,227,162,104,Cash,844,33,31,2625,1265,0,Balanced
22,Non-binary,Senior,Economics,1095,165,4532,801,253,167,243,73,33,110,66,98,Credit/Debit Card,755,28,40,2396,1273,0,Balanced
23,Male,Senior,Biology,1460,436,3230,787,377,176,158,117,78,299,84,43,Mobile Payment App,538,73,26,2525,992,1,Saver
20,Female,Freshman,Engineering,1354,427,3691,515,224,120,125,71,46,140,184,177,Credit/Debit Card,615,71,21,2113,688,1,Saver
20,Male,Sophomore,Biology,836,620,4311,584,301,160,193,91,46,143,120,53,Cash,718,103,32,2248,1309,0,Balanced
22,Male,Junior,Engineering,1212,529,4012,897,400,53,120,117,88,284,119,105,Credit/Debit Card,669,88,20,2752,1452,0,Balanced
20,Non-binary,Senior,Engineering,1483,277,3413,554,182,138,275,72,35,160,74,190,Credit/Debit Card,569,46,46,2020,491,1,Saver
22,Non-binary,Sophomore,Computer Science,998,935,5420,516,297,96,103,129,78,251,109,63,Credit/Debit Card,903,156,17,2459,1305,0,Balanced
22,Non-binary,Senior,Biology,885,325,4389,907,317,144,126,149,89,243,156,81,Credit/Debit Card,732,54,21,2839,1900,2,Over-Spender
25,Male,Senior,Engineering,726,333,3854,738,177,195,110,92,77,117,30,50,Credit/Debit Card,642,56,18,2136,1354,0,Balanced
25,Female,Junior,Psychology,1037,990,4885,481,367,130,272,56,57,150,92,22,Mobile Payment App,814,165,45,2214,1012,1,Saver
22,Female,Freshman,Engineering,1456,993,3377,733,201,94,284,123,34,59,77,97,Mobile Payment App,563,166,47,2028,406,1,Saver
24,Male,Junior,Economics,676,183,4129,600,135,75,227,25,22,200,164,133,Mobile Payment App,688,30,38,2080,1374,0,Balanced
24,Female,Senior,Psychology,571,215,5579,424,133,149,139,29,58,275,173,109,Mobile Payment App,930,36,23,2303,1696,2,Over-Spender
23,Male,Junior,Computer Science,1213,761,5944,768,246,196,165,52,68,198,180,40,Mobile Payment App,991,127,28,2767,1427,0,Balanced
24,Female,Sophomore,Psychology,1112,547,5305,498,357,170,183,92,84,138,92,197,Cash,884,91,30,2542,1339,0,Balanced
18,Female,Sophomore,Economics,1100,535,4834,593,201,197,78,92,44,178,198,45,Credit/Debit Card,806,89,13,2367,1178,0,Balanced
21,Male,Sophomore,Psychology,526,375,4279,747,159,183,197,67,21,88,58,108,Cash,713,62,33,2177,1589,0,Balanced
22,Male,Junior,Computer Science,951,202,3172,818,158,68,95,76,63,122,47,96,Mobile Payment App,529,34,16,1993,1008,1,Saver
23,Male,Sophomore,Computer Science,1301,163,5696,899,117,51,278,22,22,153,70,150,Cash,949,27,46,2479,1151,0,Balanced
25,Male,Junior,Psychology,1103,5,5960,676,375,149,133,76,33,212,165,169,Mobile Payment App,993,1,22,2870,1766,2,Over-Spender
24,Male,Senior,Computer Science,1083,466,5692,644,111,80,235,76,42,108,65,73,Cash,949,78,39,2187,1026,1,Saver
23,Female,Senior,Engineering,860,47,3057,614,235,115,117,71,72,226,94,126,Cash,510,8,20,2083,1215,0,Balanced
18,Male,Senior,Biology,1354,882,3341,969,348,75,126,49,93,201,116,178,Cash,557,147,21,2607,1106,0,Balanced
23,Male,Senior,Biology,877,847,4768,465,221,96,52,39,73,94,141,64,Credit/Debit Card,795,141,9,1997,979,1,Saver
21,Male,Freshman,Engineering,649,577,3046,931,224,161,200,24,80,213,135,180,Credit/Debit Card,508,96,33,2489,1744,2,Over-Spender
24,Male,Sophomore,Computer Science,897,220,4655,799,358,125,290,80,23,156,177,46,Credit/Debit Card,776,37,48,2588,1654,2,Over-Spender
21,Non-binary,Freshman,Psychology,1147,872,3709,581,102,188,225,98,72,273,126,166,Mobile Payment App,618,145,38,2262,970,1,Saver
23,Non-binary,Senior,Biology,1367,606,5577,916,260,78,213,145,71,223,123,199,Credit/Debit Card,930,101,36,2981,1513,0,Balanced
21,Male,Freshman,Computer Science,647,382,4943,807,149,61,214,136,26,191,102,107,Cash,824,64,36,2439,1728,2,Over-Spender
21,Female,Senior,Engineering,656,725,3360,931,329,188,95,120,92,102,59,198,Credit/Debit Card,560,121,16,2595,1818,2,Over-Spender
19,Non-binary,Junior,Economics,1131,315,3194,468,328,177,118,26,69,66,161,120,Mobile Payment App,532,52,20,1967,784,1,Saver
19,Female,Freshman,Psychology,1319,803,4160,677,159,73,229,140,38,108,175,31,Cash,693,134,38,2132,679,1,Saver
22,Female,Freshman,Economics,917,856,5010,434,128,184,277,98,29,115,61,66,Credit/Debit Card,835,143,46,1996,936,1,Saver
19,Female,Sophomore,Biology,872,206,5309,944,232,166,153,58,64,67,167,86,Credit/Debit Card,885,34,26,2695,1789,2,Over-Spender
20,Male,Sophomore,Economics,901,115,3388,737,295,84,297,66,80,146,100,93,Mobile Payment App,565,19,50,2216,1296,0,Balanced
18,Male,Junior,Engineering,536,535,5547,676,255,82,111,128,35,252,160,79,Credit/Debit Card,924,89,18,2609,1984,2,Over-Spender
25,Female,Senior,Psychology,506,931,4087,998,251,175,80,82,82,76,152,56,Mobile Payment App,681,155,13,2566,1905,2,Over-Spender
23,Female,Junior,Economics,1201,635,3748,459,291,56,199,100,81,290,135,131,Credit/Debit Card,625,106,33,2201,894,1,Saver
25,Non-binary,Senior,Computer Science,1189,48,5568,815,159,79,66,113,68,91,94,37,Cash,928,8,11,2395,1198,0,Balanced
23,Female,Junior,Economics,546,387,3890,747,282,140,53,35,38,67,75,181,Credit/Debit Card,648,64,9,2222,1612,2,Over-Spender
19,Non-binary,Senior,Biology,1181,989,3162,559,196,137,89,46,60,249,134,200,Cash,527,165,15,2123,777,1,Saver
18,Female,Sophomore,Economics,810,292,3953,771,340,51,98,120,88,133,58,113,Cash,659,49,16,2349,1490,0,Balanced
19,Non-binary,Freshman,Engineering,855,397,4028,633,400,146,174,148,42,77,153,122,Cash,671,66,29,2421,1500,0,Balanced
23,Male,Sophomore,Biology,1354,17,5911,631,385,160,112,34,32,225,173,60,Cash,985,3,19,2704,1347,0,Balanced
20,Male,Freshman,Psychology,1056,861,5433,405,183,194,187,61,66,144,107,22,Cash,906,144,31,2119,919,1,Saver
19,Male,Freshman,Economics,620,215,4981,704,243,197,285,135,83,192,36,197,Credit/Debit Card,830,36,48,2665,2009,2,Over-Spender
24,Female,Freshman,Economics,1207,339,4361,638,201,143,241,112,29,86,139,110,Cash,727,56,40,2225,962,1,Saver
21,Non-binary,Sophomore,Psychology,621,456,5893,960,199,124,278,115,48,193,178,68,Cash,982,76,46,2913,2216,2,Over-Spender
25,Female,Senior,Engineering,1033,64,4249,517,104,64,259,131,66,234,63,104,Mobile Payment App,708,11,43,2034,990,1,Saver
19,Non-binary,Freshman,Psychology,722,2,3701,450,102,82,267,38,65,129,186,125,Mobile Payment App,617,0,44,1838,1116,0,Balanced
20,Male,Freshman,Psychology,1304,76,3564,847,180,92,300,90,64,113,34,113,Mobile Payment App,594,13,50,2177,860,1,Saver
21,Non-binary,Junior,Biology,912,970,3424,991,348,181,86,134,70,175,40,184,Credit/Debit Card,571,162,14,2708,1634,2,Over-Spender
23,Male,Sophomore,Biology,963,871,4951,778,253,105,135,124,46,185,164,160,Cash,825,145,22,2662,1554,0,Balanced
18,Female,Junior,Engineering,1286,618,3015,925,103,129,56,50,93,215,43,105,Mobile Payment App,502,103,9,2174,785,1,Saver
18,Male,Freshman,Economics,1104,180,4653,683,362,185,90,79,91,91,99,64,Credit/Debit Card,776,30,15,2445,1311,0,Balanced
23,Non-binary,Senior,Economics,697,927,3756,734,394,192,109,80,73,247,69,195,Cash,626,154,18,2628,1777,2,Over-Spender
21,Male,Freshman,Engineering,1230,968,4254,540,285,99,169,101,57,77,87,43,Cash,709,161,28,2026,635,1,Saver
25,Female,Junior,Engineering,1345,649,3889,919,311,133,68,149,66,69,159,162,Mobile Payment App,648,108,11,2627,1174,0,Balanced
20,Female,Junior,Biology,1411,517,3074,874,151,77,219,21,44,280,57,176,Mobile Payment App,512,86,36,2228,731,1,Saver
24,Female,Freshman,Economics,1355,282,5998,617,311,79,264,35,73,254,131,164,Credit/Debit Card,1000,47,44,2708,1306,0,Balanced
24,Non-binary,Junior,Economics,608,918,4056,568,336,186,159,82,89,251,166,142,Mobile Payment App,676,153,26,2522,1761,2,Over-Spender
22,Female,Senior,Biology,566,480,3542,834,360,64,289,48,86,226,132,120,Credit/Debit Card,590,80,48,2508,1862,2,Over-Spender
25,Female,Junior,Economics,1310,982,4548,837,219,60,72,82,51,260,30,171,Mobile Payment App,758,164,12,2480,1006,1,Saver
24,Female,Sophomore,Biology,1354,52,3169,849,335,60,199,77,45,101,195,125,Credit/Debit Card,528,9,33,2348,985,1,Saver
23,Male,Sophomore,Economics,1020,17,4645,943,305,156,240,123,53,290,77,63,Cash,774,3,40,2824,1801,2,Over-Spender
24,Non-binary,Senior,Engineering,1394,871,4450,416,268,133,146,22,68,172,126,185,Cash,742,145,24,2156,617,1,Saver
22,Non-binary,Sophomore,Psychology,954,337,5756,717,159,195,196,138,26,154,160,85,Credit/Debit Card,959,56,33,2626,1616,2,Over-Spender
21,Male,Senior,Biology,1448,794,3959,624,171,172,103,59,89,206,182,158,Mobile Payment App,660,132,17,2338,758,1,Saver
21,Non-binary,Sophomore,Biology,968,8,4078,670,108,56,129,26,66,272,64,151,Credit/Debit Card,680,1,22,2115,1146,0,Balanced
19,Male,Freshman,Economics,1450,809,4103,845,255,89,136,110,85,183,85,110,Credit/Debit Card,684,135,23,2469,884,1,Saver
22,Female,Freshman,Computer Science,1316,938,4316,953,153,179,229,105,66,184,151,137,Credit/Debit Card,719,156,38,2685,1213,0,Balanced
24,Male,Freshman,Computer Science,904,955,4075,875,310,197,201,91,83,224,186,101,Cash,679,159,34,2780,1717,2,Over-Spender
23,Female,Junior,Computer Science,1488,77,5418,545,112,193,158,21,64,257,168,86,Cash,903,13,26,2375,874,1,Saver
20,Female,Junior,Psychology,893,258,5877,469,131,192,222,73,84,125,176,74,Cash,980,43,37,2341,1405,0,Balanced
21,Male,Freshman,Biology,527,851,4464,683,390,194,185,127,65,188,168,193,Credit/Debit Card,744,142,31,2783,2114,2,Over-Spender
24,Male,Senior,Biology,804,640,3043,927,347,167,151,114,35,206,94,169,Credit/Debit Card,507,107,25,2591,1680,2,Over-Spender
25,Female,Junior,Engineering,547,233,5070,633,164,94,147,123,25,236,116,37,Credit/Debit Card,845,39,24,2297,1711,2,Over-Spender
19,Non-binary,Freshman,Computer Science,523,892,4683,438,180,65,208,108,59,192,92,132,Cash,780,149,35,2081,1409,0,Balanced
24,Female,Senior,Economics,1040,970,5293,701,323,97,196,93,62,170,90,64,Credit/Debit Card,882,162,33,2515,1313,0,Balanced
24,Male,Freshman,Computer Science,918,273,3012,759,113,181,62,99,81,226,155,199,Credit/Debit Card,502,46,10,2325,1361,0,Balanced
