age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method,tuition_monthly,financial_aid_monthly,books_supplies_monthly,total_spending,spending_ratio,spending_category
25,Male,Junior,Psychology,1036,260,4141,918,122,86,105,62,88,90,169,137,Cash,690,43,18,2380,2.2057460611677477,Balanced
24,Female,Junior,Economics,588,211,4875,604,163,101,198,89,23,128,62,42,Mobile Payment App,812,35,33,2057,3.301765650080257,Over-Spender
20,Female,Junior,Engineering,1377,723,5414,786,355,137,187,45,90,145,200,27,Cash,902,120,31,2718,1.8156312625250501,Saver
21,Non-binary,Freshman,Economics,1451,479,5481,661,140,67,128,31,48,293,37,128,Credit/Debit Card,914,80,21,2340,1.528412802090137,Saver
19,Male,Senior,Computer Science,669,660,3823,837,193,115,75,121,65,150,96,58,Cash,637,110,12,2284,2.93196405648267,Over-Spender
18,Male,Freshman,Psychology,1294,818,4079,806,115,97,71,24,31,79,107,63,Mobile Payment App,680,136,12,2014,1.4083916083916084,Saver
24,Non-binary,Senior,Engineering,941,90,3688,963,372,197,146,32,86,109,45,198,Mobile Payment App,615,15,24,2641,2.76255230125523,Balanced
22,Female,Sophomore,Engineering,1131,312,4244,926,339,142,237,145,93,121,91,158,Cash,707,52,40,2762,2.334742180896027,Balanced
24,Non-binary,Freshman,Computer Science,854,700,4824,525,223,145,133,47,91,294,191,170,Cash,804,117,22,2512,2.5870236869207,Balanced
20,Male,Sophomore,Economics,1158,653,3017,960,216,193,299,40,61,263,55,141,Mobile Payment App,503,109,50,2482,1.9589581689029203,Balanced
25,Non-binary,Sophomore,Biology,668,50,3650,466,377,161,221,60,80,180,142,86,Mobile Payment App,608,8,37,2197,3.25,Over-Spender
20,Female,Junior,Biology,695,970,4694,626,304,104,200,47,71,223,93,191,Mobile Payment App,782,162,33,2474,2.8868144690781796,Over-Spender
20,Male,Junior,Engineering,1375,722,5389,416,132,193,149,67,27,261,46,43,Mobile Payment App,898,120,25,2108,1.4100334448160534,Saver
23,Female,Junior,Engineering,1084,315,5205,721,230,76,141,86,34,187,159,144,Mobile Payment App,868,52,24,2529,2.226232394366197,Balanced
18,Female,Senior,Biology,733,838,5248,977,298,164,241,85,78,281,121,168,Cash,875,140,40,3087,3.536082474226804,Over-Spender
20,Non-binary,Freshman,Economics,1061,989,5194,464,370,58,77,135,34,124,40,171,Mobile Payment App,866,165,13,2275,1.8556280587275693,Balanced
19,Female,Junior,Computer Science,1352,13,3403,477,144,82,190,109,84,81,56,80,Mobile Payment App,567,2,32,1712,1.2644017725258494,Saver
19,Male,Freshman,Biology,1092,550,5841,916,150,143,257,90,29,262,192,177,Mobile Payment App,974,92,43,2976,2.5135135135135136,Balanced
24,Male,Freshman,Economics,963,367,3830,883,260,79,139,135,64,54,81,74,Mobile Payment App,638,61,23,2291,2.2373046875,Balanced
21,Female,Junior,Engineering,1204,121,4261,488,283,111,287,115,56,230,85,24,Credit/Debit Card,710,20,48,2150,1.7565359477124183,Balanced
23,Male,Senior,Engineering,1184,104,5380,940,115,185,171,58,45,111,30,169,Mobile Payment App,897,17,28,2578,2.1465445462114903,Balanced
22,Male,Junior,Economics,562,728,4560,986,306,105,109,90,99,187,195,34,Mobile Payment App,760,121,18,2780,4.070278184480234,Over-Spender
19,Male,Freshman,Economics,1218,878,4643,451,234,169,240,105,21,238,101,38,Mobile Payment App,774,146,40,2171,1.5916422287390029,Saver
21,Non-binary,Sophomore,Computer Science,1235,805,5442,745,390,150,228,96,80,104,35,131,Cash,907,134,38,2676,1.9547114682249818,Saver
23,Non-binary,Sophomore,Economics,1424,367,3220,684,328,118,91,143,88,98,159,54,Cash,537,61,15,2224,1.4976430976430977,Saver
22,Female,Freshman,Biology,1176,804,4272,861,305,97,106,103,43,185,104,67,Mobile Payment App,712,134,18,2495,1.9045801526717556,Saver
25,Female,Sophomore,Engineering,1334,81,3986,873,180,186,236,23,61,88,87,33,Credit/Debit Card,664,14,39,2234,1.6572700296735905,Saver
19,Female,Senior,Computer Science,1442,354,5371,733,153,166,105,29,80,86,137,109,Cash,895,59,18,2406,1.602931379080613,Saver
22,Male,Sophomore,Computer Science,983,862,5650,648,159,128,259,124,97,96,150,134,Cash,942,144,43,2521,2.2369121561668144,Balanced
24,Female,Sophomore,Computer Science,914,24,4881,564,149,55,61,129,79,180,94,33,Credit/Debit Card,814,4,10,2107,2.29520697167756,Balanced
22,Non-binary,Senior,Economics,898,155,5428,868,175,129,148,114,74,196,104,77,Cash,905,26,25,2667,2.8863636363636362,Over-Spender
23,Non-binary,Junior,Economics,1164,357,5212,631,331,125,199,115,48,130,107,196,Cash,869,60,33,2585,2.1119281045751634,Balanced
18,Female,Freshman,Biology,1484,594,4636,518,299,74,55,104,87,122,171,193,Mobile Payment App,773,99,9,2350,1.4845230574857864,Saver
19,Female,Junior,Biology,1127,850,5104,623,385,94,193,29,57,259,113,31,Mobile Payment App,851,142,32,2474,1.9495665878644601,Balanced
24,Non-binary,Senior,Biology,1105,671,5501,841,235,164,109,144,100,252,198,36,Cash,917,112,18,2905,2.3870172555464255,Balanced
19,Male,Freshman,Computer Science,1351,156,4529,678,186,178,75,34,95,97,140,75,Mobile Payment App,755,26,12,2250,1.6339869281045751,Saver
22,Female,Freshman,Biology,930,768,3050,490,349,54,174,80,51,278,143,41,Mobile Payment App,508,128,29,2023,1.9120982986767485,Balanced
25,Non-binary,Senior,Computer Science,1346,932,5683,718,376,152,156,94,81,220,145,83,Credit/Debit Card,947,155,26,2842,1.893404397068621,Saver
25,Non-binary,Sophomore,Computer Science,1240,44,3901,618,315,177,180,41,63,247,112,138,Credit/Debit Card,650,7,30,2391,1.917401764234162,Balanced
25,Female,Junior,Computer Science,727,143,4051,840,269,119,121,132,40,173,198,125,Credit/Debit Card,675,24,20,2591,3.4500665778961386,Over-Spender
20,Female,Junior,Economics,622,959,4707,431,234,184,264,54,84,295,162,177,Mobile Payment App,784,160,44,2449,3.131713554987212,Over-Spender
23,Male,Sophomore,Economics,800,933,5304,421,144,97,51,103,66,247,183,92,Credit/Debit Card,884,156,8,2245,2.348326359832636,Balanced
18,Non-binary,Junior,Psychology,1199,516,5959,778,260,82,238,74,82,149,126,62,Credit/Debit Card,993,86,40,2646,2.059143968871595,Balanced
19,Male,Senior,Economics,1006,392,3526,411,357,109,268,107,94,65,138,145,Cash,588,65,45,2059,1.9225023342670402,Balanced
23,Non-binary,Sophomore,Economics,1295,903,4423,791,397,144,64,59,79,187,189,113,Mobile Payment App,737,150,11,2707,1.873356401384083,Saver
18,Male,Sophomore,Economics,1222,625,4236,862,127,180,63,91,90,191,87,122,Mobile Payment App,706,104,10,2466,1.8597285067873304,Saver
18,Female,Senior,Computer Science,1384,800,4822,809,237,174,85,21,72,130,185,104,Credit/Debit Card,804,133,14,2550,1.6809492419248517,Saver
18,Female,Junior,Engineering,1035,513,3367,760,182,57,95,119,21,166,149,119,Credit/Debit Card,561,86,16,2150,1.9179304192685103,Balanced
20,Male,Freshman,Economics,1395,723,5126,551,258,130,81,102,84,234,172,78,Credit/Debit Card,854,120,14,2477,1.634983498349835,Saver
18,Non-binary,Sophomore,Biology,767,457,5096,780,331,200,115,89,27,265,175,158,Credit/Debit Card,849,76,19,2893,3.431791221826809,Over-Spender
24,Female,Senior,Biology,933,452,4706,787,166,136,106,112,63,270,86,29,Cash,784,75,18,2451,2.431547619047619,Balanced
23,Male,Junior,Psychology,803,796,3471,931,293,54,146,142,58,84,104,41,Mobile Payment App,578,133,24,2309,2.466880341880342,Balanced
22,Male,Sophomore,Psychology,1333,231,3300,971,295,51,219,91,94,259,161,50,Cash,550,38,36,2558,1.8657913931436907,Saver
23,Female,Senior,Psychology,1115,437,5317,818,341,136,116,115,22,56,38,106,Mobile Payment App,886,73,19,2537,2.1355218855218854,Balanced
20,Female,Sophomore,Psychology,920,149,3366,636,295,143,77,120,96,137,162,178,Cash,561,25,13,2341,2.477248677248677,Balanced
25,Male,Junior,Psychology,780,95,5931,759,216,99,251,20,38,192,105,97,Cash,988,16,42,2556,3.2110552763819094,Over-Spender
21,Female,Junior,Psychology,882,912,5570,555,305,103,81,112,28,112,162,197,Mobile Payment App,928,152,14,2516,2.4332688588007736,Balanced
21,Female,Senior,Computer Science,959,258,3200,464,360,153,220,26,88,144,161,134,Cash,533,43,37,2100,2.095808383233533,Balanced
25,Female,Senior,Psychology,748,494,4789,447,353,164,201,60,43,99,93,172,Mobile Payment App,798,82,34,2263,2.7265060240963854,Over-Spender
21,Male,Junior,Biology,810,73,4884,742,112,173,276,136,63,294,161,136,Mobile Payment App,814,12,46,2677,3.25669099756691,Over-Spender
20,Male,Sophomore,Computer Science,965,322,4992,433,175,56,71,89,74,66,59,130,Mobile Payment App,832,54,12,1926,1.8900883218842002,Balanced
24,Male,Senior,Psychology,784,513,4906,863,116,110,140,116,56,264,179,160,Credit/Debit Card,818,86,23,2705,3.1091954022988504,Over-Spender
22,Male,Sophomore,Economics,970,553,5894,680,344,156,114,120,79,53,40,156,Mobile Payment App,982,92,19,2629,2.475517890772128,Balanced
23,Non-binary,Senior,Economics,1349,873,5866,661,205,129,88,72,28,192,72,101,Credit/Debit Card,978,146,15,2453,1.6408026755852843,Saver
19,Female,Senior,Psychology,760,61,5429,831,268,84,63,26,92,278,185,60,Credit/Debit Card,905,10,10,2739,3.557142857142857,Over-Spender
21,Female,Freshman,Computer Science,702,273,4977,906,385,106,277,148,41,205,149,116,Cash,830,46,46,2932,3.9197860962566846,Over-Spender
21,Male,Junior,Engineering,720,675,5309,661,284,95,153,93,21,108,81,64,Mobile Payment App,885,112,26,2318,2.7860576923076925,Over-Spender
22,Male,Freshman,Biology,1286,789,3618,902,343,194,182,74,62,171,126,112,Mobile Payment App,603,132,30,2617,1.8455571227080394,Saver
22,Female,Sophomore,Engineering,1135,261,4753,629,335,168,97,113,60,223,44,62,Cash,792,44,16,2442,2.0712468193384224,Balanced
18,Non-binary,Senior,Engineering,1030,240,3108,859,386,147,208,27,60,265,36,23,Credit/Debit Card,518,40,35,2356,2.201869158878505,Balanced
21,Female,Senior,Engineering,1265,722,4579,760,122,122,63,34,48,250,153,184,Credit/Debit Card,763,120,10,2446,1.7660649819494585,Saver
24,Female,Freshman,Psychology,1175,803,5634,444,290,170,63,25,37,275,111,101,Mobile Payment App,939,134,10,2402,1.834988540870894,Saver
23,Female,Freshman,Psychology,1083,10,5275,640,236,153,257,62,87,188,55,59,Mobile Payment App,879,2,43,2402,2.2138248847926265,Balanced
24,Non-binary,Freshman,Biology,1487,940,3167,765,202,146,183,145,23,233,120,44,Mobile Payment App,528,157,30,2236,1.3600973236009732,Saver
25,Non-binary,Junior,Computer Science,1327,196,5067,613,278,179,187,149,38,227,162,104,Cash,844,33,31,2625,1.9301470588235294,Saver
22,Non-binary,Senior,Economics,1095,165,4532,801,253,167,243,73,33,110,66,98,Credit/Debit Card,755,28,40,2396,2.1335707925200356,Balanced
23,Male,Senior,Biology,1460,436,3230,787,377,176,158,117,78,299,84,43,Mobile Payment App,538,73,26,2525,1.6470971950424005,Saver
20,Female,Freshman,Engineering,1354,427,3691,515,224,120,125,71,46,140,184,177,Credit/Debit Card,615,71,21,2113,1.4828070175438597,Saver
20,Male,Sophomore,Biology,836,620,4311,584,301,160,193,91,46,143,120,53,Cash,718,103,32,2248,2.3940362087326945,Balanced
22,Male,Junior,Engineering,1212,529,4012,897,400,53,120,117,88,284,119,105,Credit/Debit Card,669,88,20,2752,2.116923076923077,Balanced
20,Non-binary,Senior,Engineering,1483,277,3413,554,182,138,275,72,35,160,74,190,Credit/Debit Card,569,46,46,2020,1.3211249182472204,Saver
22,Non-binary,Sophomore,Computer Science,998,935,5420,516,297,96,103,129,78,251,109,63,Credit/Debit Card,903,156,17,2459,2.130849220103986,Balanced
22,Non-binary,Senior,Biology,885,325,4389,907,317,144,126,149,89,243,156,81,Credit/Debit Card,732,54,21,2839,3.0234291799787005,Over-Spender
25,Male,Senior,Engineering,726,333,3854,738,177,195,110,92,77,117,30,50,Credit/Debit Card,642,56,18,2136,2.731457800511509,Over-Spender
25,Female,Junior,Psychology,1037,990,4885,481,367,130,272,56,57,150,92,22,Mobile Payment App,814,165,45,2214,1.8419301164725457,Balanced
22,Female,Freshman,Engineering,1456,993,3377,733,201,94,284,123,34,59,77,97,Mobile Payment App,563,166,47,2028,1.250308261405672,Saver
24,Male,Junior,Economics,676,183,4129,600,135,75,227,25,22,200,164,133,Mobile Payment App,688,30,38,2080,2.9461756373937678,Over-Spender
24,Female,Senior,Psychology,571,215,5579,424,133,149,139,29,58,275,173,109,Mobile Payment App,930,36,23,2303,3.7940691927512358,Over-Spender
23,Male,Junior,Computer Science,1213,761,5944,768,246,196,165,52,68,198,180,40,Mobile Payment App,991,127,28,2767,2.0649253731343284,Saver
24,Female,Sophomore,Psychology,1112,547,5305,498,357,170,183,92,84,138,92,197,Cash,884,91,30,2542,2.113050706566916,Balanced
18,Female,Sophomore,Economics,1100,535,4834,593,201,197,78,92,44,178,198,45,Credit/Debit Card,806,89,13,2367,1.9907485281749369,Balanced
21,Male,Sophomore,Psychology,526,375,4279,747,159,183,197,67,21,88,58,108,Cash,713,62,33,2177,3.7023809523809526,Over-Spender
22,Male,Junior,Computer Science,951,202,3172,818,158,68,95,76,63,122,47,96,Mobile Payment App,529,34,16,1993,2.0233502538071066,Balanced
23,Male,Sophomore,Computer Science,1301,163,5696,899,117,51,278,22,22,153,70,150,Cash,949,27,46,2479,1.8667168674698795,Saver
25,Male,Junior,Psychology,1103,5,5960,676,375,149,133,76,33,212,165,169,Mobile Payment App,993,1,22,2870,2.5996376811594204,Balanced
24,Male,Senior,Computer Science,1083,466,5692,644,111,80,235,76,42,108,65,73,Cash,949,78,39,2187,1.8837209302325582,Balanced
23,Female,Senior,Engineering,860,47,3057,614,235,115,117,71,72,226,94,126,Cash,510,8,20,2083,2.3997695852534564,Balanced
18,Male,Senior,Biology,1354,882,3341,969,348,75,126,49,93,201,116,178,Cash,557,147,21,2607,1.736842105263158,Saver
23,Male,Senior,Biology,877,847,4768,465,221,96,52,39,73,94,141,64,Credit/Debit Card,795,141,9,1997,1.961689587426326,Balanced
21,Male,Freshman,Engineering,649,577,3046,931,224,161,200,24,80,213,135,180,Credit/Debit Card,508,96,33,2489,3.3409395973154363,Over-Spender
24,Male,Sophomore,Computer Science,897,220,4655,799,358,125,290,80,23,156,177,46,Credit/Debit Card,776,37,48,2588,2.770877944325482,Over-Spender
21,Non-binary,Freshman,Psychology,1147,872,3709,581,102,188,225,98,72,273,126,166,Mobile Payment App,618,145,38,2262,1.7507739938080495,Saver
23,Non-binary,Senior,Biology,1367,606,5577,916,260,78,213,145,71,223,123,199,Credit/Debit Card,930,101,36,2981,2.0306539509536785,Saver
21,Male,Freshman,Computer Science,647,382,4943,807,149,61,214,136,26,191,102,107,Cash,824,64,36,2439,3.430379746835443,Over-Spender
21,Female,Senior,Engineering,656,725,3360,931,329,188,95,120,92,102,59,198,Credit/Debit Card,560,121,16,2595,3.33976833976834,Over-Spender
19,Non-binary,Junior,Economics,1131,315,3194,468,328,177,118,26,69,66,161,120,Mobile Payment App,532,52,20,1967,1.6627218934911243,Balanced
19,Female,Freshman,Psychology,1319,803,4160,677,159,73,229,140,38,108,175,31,Cash,693,134,38,2132,1.4673090158293187,Saver
22,Female,Freshman,Economics,917,856,5010,434,128,184,277,98,29,115,61,66,Credit/Debit Card,835,143,46,1996,1.8830188679245283,Balanced
19,Female,Sophomore,Biology,872,206,5309,944,232,166,153,58,64,67,167,86,Credit/Debit Card,885,34,26,2695,2.9746136865342163,Over-Spender
20,Male,Sophomore,Economics,901,115,3388,737,295,84,297,66,80,146,100,93,Mobile Payment App,565,19,50,2216,2.408695652173913,Balanced
18,Male,Junior,Engineering,536,535,5547,676,255,82,111,128,35,252,160,79,Credit/Debit Card,924,89,18,2609,4.1744,Over-Spender
25,Female,Senior,Psychology,506,931,4087,998,251,175,80,82,82,76,152,56,Mobile Payment App,681,155,13,2566,3.881996974281392,Over-Spender
23,Female,Junior,Economics,1201,635,3748,459,291,56,199,100,81,290,135,131,Credit/Debit Card,625,106,33,2201,1.684009181331293,Saver
25,Non-binary,Senior,Computer Science,1189,48,5568,815,159,79,66,113,68,91,94,37,Cash,928,8,11,2395,2.0008354218880533,Balanced
23,Female,Junior,Economics,546,387,3890,747,282,140,53,35,38,67,75,181,Credit/Debit Card,648,64,9,2222,3.642622950819672,Over-Spender
19,Non-binary,Senior,Biology,1181,989,3162,559,196,137,89,46,60,249,134,200,Cash,527,165,15,2123,1.5772659732540861,Saver
18,Female,Sophomore,Economics,810,292,3953,771,340,51,98,120,88,133,58,113,Cash,659,49,16,2349,2.7345750873108265,Over-Spender
19,Non-binary,Freshman,Engineering,855,397,4028,633,400,146,174,148,42,77,153,122,Cash,671,66,29,2421,2.6286644951140063,Balanced
23,Male,Sophomore,Biology,1354,17,5911,631,385,160,112,34,32,225,173,60,Cash,985,3,19,2704,1.9926308032424467,Saver
20,Male,Freshman,Psychology,1056,861,5433,405,183,194,187,61,66,144,107,22,Cash,906,144,31,2119,1.7658333333333334,Balanced
19,Male,Freshman,Economics,620,215,4981,704,243,197,285,135,83,192,36,197,Credit/Debit Card,830,36,48,2665,4.0625,Over-Spender
24,Female,Freshman,Economics,1207,339,4361,638,201,143,241,112,29,86,139,110,Cash,727,56,40,2225,1.7616785431512272,Saver
21,Non-binary,Sophomore,Psychology,621,456,5893,960,199,124,278,115,48,193,178,68,Cash,982,76,46,2913,4.179340028694405,Over-Spender
25,Female,Senior,Engineering,1033,64,4249,517,104,64,259,131,66,234,63,104,Mobile Payment App,708,11,43,2034,1.9482758620689655,Balanced
19,Non-binary,Freshman,Psychology,722,2,3701,450,102,82,267,38,65,129,186,125,Mobile Payment App,617,0,44,1838,2.5457063711911356,Over-Spender
20,Male,Freshman,Psychology,1304,76,3564,847,180,92,300,90,64,113,34,113,Mobile Payment App,594,13,50,2177,1.6529992406985574,Saver
21,Non-binary,Junior,Biology,912,970,3424,991,348,181,86,134,70,175,40,184,Credit/Debit Card,571,162,14,2708,2.521415270018622,Balanced
23,Male,Sophomore,Biology,963,871,4951,778,253,105,135,124,46,185,164,160,Cash,825,145,22,2662,2.4025270758122743,Balanced
18,Female,Junior,Engineering,1286,618,3015,925,103,129,56,50,93,215,43,105,Mobile Payment App,502,103,9,2174,1.5651547876169907,Saver
18,Male,Freshman,Economics,1104,180,4653,683,362,185,90,79,91,91,99,64,Credit/Debit Card,776,30,15,2445,2.1560846560846563,Balanced
23,Non-binary,Senior,Economics,697,927,3756,734,394,192,109,80,73,247,69,195,Cash,626,154,18,2628,3.0881316098707403,Over-Spender
21,Male,Freshman,Engineering,1230,968,4254,540,285,99,169,101,57,77,87,43,Cash,709,161,28,2026,1.456506110711718,Saver
25,Female,Junior,Engineering,1345,649,3889,919,311,133,68,149,66,69,159,162,Mobile Payment App,648,108,11,2627,1.8079834824501033,Saver
20,Female,Junior,Biology,1411,517,3074,874,151,77,219,21,44,280,57,176,Mobile Payment App,512,86,36,2228,1.488309953239813,Saver
24,Female,Freshman,Economics,1355,282,5998,617,311,79,264,35,73,254,131,164,Credit/Debit Card,1000,47,44,2708,1.9315263908701854,Saver
24,Non-binary,Junior,Economics,608,918,4056,568,336,186,159,82,89,251,166,142,Mobile Payment App,676,153,26,2522,3.314060446780552,Over-Spender
22,Female,Senior,Biology,566,480,3542,834,360,64,289,48,86,226,132,120,Credit/Debit Card,590,80,48,2508,3.8823529411764706,Over-Spender
25,Female,Junior,Economics,1310,982,4548,837,219,60,72,82,51,260,30,171,Mobile Payment App,758,164,12,2480,1.682496607869742,Saver
24,Female,Sophomore,Biology,1354,52,3169,849,335,60,199,77,45,101,195,125,Credit/Debit Card,528,9,33,2348,1.722670579603815,Saver
23,Male,Sophomore,Economics,1020,17,4645,943,305,156,240,123,53,290,77,63,Cash,774,3,40,2824,2.760508308895406,Balanced
24,Non-binary,Senior,Engineering,1394,871,4450,416,268,133,146,22,68,172,126,185,Cash,742,145,24,2156,1.400909681611436,Saver
22,Non-binary,Sophomore,Psychology,954,337,5756,717,159,195,196,138,26,154,160,85,Credit/Debit Card,959,56,33,2626,2.6,Balanced
21,Male,Senior,Biology,1448,794,3959,624,171,172,103,59,89,206,182,158,Mobile Payment App,660,132,17,2338,1.4797468354430379,Saver
21,Non-binary,Sophomore,Biology,968,8,4078,670,108,56,129,26,66,272,64,151,Credit/Debit Card,680,1,22,2115,2.1826625386996903,Balanced
